Beginning	End	Duration	Words	Word
10.236734693	10.710204081	0.473469388	Mon	1
10.710204081	13.012244897	2.302040816	enfant,	2
13.012244897	13.371428571	0.359183673999999	ma	3
13.371428571	14.285714285	0.914285714	sœur,	4
14.285714285	14.67755102	0.391836735	R	4
14.67755102	16.636734693	1.959183673	Songe	5
16.636734693	16.979591836	0.342857143	à	6
16.979591836	17.697959183	0.718367346999997	la	7
17.697959183	18.775510204	1.077551021	douceur	8
18.775510204	19.053061224	0.277551020000001	R	8
19.053061224	20.212244897	1.159183673	d'aller	9
20.212244897	20.587755102	0.375510204999998	là	10
20.587755102	21.551020408	0.963265306	bas	11
21.551020408	22.383673469	0.832653061000002	vivre	12
22.383673469	26.628571428	4.244897959	ensemble!	13
26.628571428	27.21632653	0.587755101999999	R	13
27.21632653	28.571428571	1.355102041	Aimer	14
28.571428571	29.33877551	0.767346939000003	à	15
29.33877551	31.510204081	2.171428571	loisir,	16
31.510204081	31.722448979	0.212244897999998	R	16
31.722448979	33.126530612	1.404081633	Aimer	17
33.126530612	33.959183673	0.832653060999995	et	18
33.959183673	35.053061224	1.093877551	mourir	19
35.053061224	35.461224489	0.408163265000006	R	19
35.461224489	36.27755102	0.816326530999994	Au	20
36.27755102	38.089795918	1.812244898	pays	21
38.089795918	38.432653061	0.342857143000003	qui	22
38.432653061	38.726530612	0.293877550999994	te	23
38.726530612	41.191836734	2.465306122	ressemble!	24
41.191836734	45.322448979	4.130612245	R	24
45.322448979	45.641723356	0.319274376999999	Les	25
45.641723356	48.370068027	2.728344671	soleils	26
48.370068027	49.966439909	1.596371882	mouillés	27
49.966439909	50.314739229	0.348299319999995	R	27
50.314739229	50.706575963	0.391836734000002	de	28
50.706575963	51.098412698	0.391836734999998	ces	29
51.098412698	53.13015873	2.031746032	ciels	30
53.13015873	54.494331065	1.364172335	brouillés	31
54.494331065	54.755555555	0.261224490000004	R	31
54.755555555	55.40861678	0.653061225000002	Pour	32
55.40861678	56.018140589	0.609523808999995	mon	33
56.018140589	58.035374149	2.01723356	esprit	34
58.035374149	58.615873015	0.580498865999999	ont	35
58.615873015	59.00770975	0.391836734999998	les	36
59.00770975	60.995918367	1.98820861700001	charmes	37
60.995918367	61.46031746	0.464399092999997	R	37
61.46031746	62.229478458	0.769160998000004	Si	38
62.229478458	64.551473922	2.321995464	mystérieux	39
64.551473922	64.841723356	0.290249434000003	R	39
64.841723356	66.496145124	1.65442176799999	de	40
66.496145124	66.800907029	0.304761905000007	tes	41
66.800907029	67.903854875	1.10294784599999	traitres	42
67.903854875	68.760090702	0.856235827000006	yeux,	43
68.760090702	69.050340136	0.290249434000003	R	43
69.050340136	70.501587301	1.451247165	Brillant	44
70.501587301	71.154648526	0.653061225000002	à	45
71.154648526	72.228571428	1.07392290199999	travers	46
72.228571428	72.678458049	0.449886621000005	leurs	47
72.678458049	77.583673469	4.90521542	larmes.	48
77.583673469	79.804081632	2.220408163	R	48
79.804081632	82.082539682	2.27845805	Là,	49
82.082539682	82.561451247	0.47891156499999	R	49
82.561451247	83.098412698	0.536961451000011	tout	50
