Beginning	End	Duration	Words	Word
34.608	37.847	3.239	Bientôt	1
37.847	38.713	0.866	nous	2
38.713	40.832	2.120	plongerons	3
40.832	41.378	0.546	R	3
41.378	41.738	0.360	dans	4
41.738	42.086	0.348	les	5
42.086	44.942	2.856	froides	6
44.942	47.589	2.647	ténèbres;	7
47.589	48.119	0.530	R	7
48.119	49.923	1.804	Adieu	8
49.923	51.351	1.428	vive	9
51.351	54.033	2.682	clarté	10
54.033	54.892	0.859	de	11
54.892	55.681	0.789	nos	12
55.681	57.783	2.101	étés	13
57.783	58.189	0.406	trop	14
58.189	61.306	3.117	courts!	15
61.306	61.780	0.473	R	15
61.780	63.069	1.290	J'entends	16
63.069	64.637	1.568	déjà	17
64.637	67.722	3.085	tomber	18
67.722	68.132	0.410	R	18
68.132	69.290	1.157	avec	19
69.290	69.668	0.379	des	20
69.668	70.710	1.042	chocs	21
70.710	74.351	3.641	funèbres	22
74.351	74.792	0.441	R	22
74.792	75.461	0.669	Le	23
75.461	76.033	0.571	bois	24
76.033	78.531	2.498	retentissant	25
78.531	78.824	0.294	R	25
78.824	79.592	0.767	sur	26
79.592	80.229	0.637	le	27
80.229	82.841	2.612	pavé	28
82.841	83.853	1.012	des	29
83.853	86.106	2.253	cours,	30
86.106	86.514	0.408	R	30
86.514	89.453	2.939	J'écoute	64
89.453	90.433	0.980	en	65
90.433	92.506	2.073	frémissant	66
92.506	93.094	0.588	R	66
93.094	93.796	0.702	chaque	67
93.796	96.082	2.286	bûche	68
96.082	96.980	0.898	qui	69
96.980	100.016	3.037	tombe;	70
100.016	100.833	0.816	R	70
100.833	102.384	1.551	L'échafaud	71
102.384	102.906	0.522	qu'on	72
102.906	105.355	2.449	bâtit	73
105.355	106.073	0.718	n'a	74
106.073	106.922	0.849	pas	75
106.922	108.816	1.894	d'écho	76
108.816	109.159	0.343	plus	77
109.159	111.690	2.531	sourd,	78
111.690	112.735	1.045	R	78
112.735	113.143	0.408	Mon	79
113.143	114.416	1.273	esprit	80
114.416	115.004	0.588	est	81
115.004	118.286	3.282	pareil	82
118.286	119.004	0.718	R	82
119.004	119.641	0.637	à	83
119.641	119.837	0.196	la	84
119.837	120.604	0.767	tour	85
120.604	121.061	0.457	qui	86
121.061	124.163	3.102	succombe	87
124.163	124.882	0.718	R	87
124.882	125.355	0.473	Sous	88
125.355	125.665	0.310	les	89
125.665	126.400	0.735	coups	90
126.400	126.906	0.506	du	91
126.906	129.110	2.204	bélier	92
129.110	132.392	3.282	infatigable	93
132.392	133.208	0.816	et	94
133.208	136.620	3.412	lourd,	95
136.620	136.980	0.359	R	95
136.980	137.420	0.441	II	96
137.420	137.780	0.359	me	97
137.780	139.004	1.224	semble	98
139.004	140.000	0.996	bercé	99
140.000	140.490	0.490	par	100
140.490	140.702	0.212	ce	101
140.702	141.551	0.849	choc	102
141.551	145.437	3.886	monotone	103
145.437	145.894	0.457	R	103
145.894	146.710	0.816	Qu'on	104
146.710	147.233	0.522	cloue	105
147.233	147.494	0.261	en	106
147.494	148.245	0.751	grande	107
148.245	148.898	0.653	hâte	108
148.898	149.371	0.473	un	109
149.371	150.367	0.996	cercueil	110
150.367	151.233	0.865	quelque	111
151.233	156.131	4.898	part,	112
156.131	156.588	0.457	R	112
156.588	157.600	1.012	Pour	113
157.600	159.053	1.453	qui	114
159.053	159.559	0.506	R	114
159.559	160.686	1.127	C'était	115
160.686	161.698	1.012	hier	116
161.698	162.808	1.110	l'été;	117
162.808	163.510	0.702	R	117
163.510	164.327	0.816	voici	118
164.327	166.465	2.139	l'automne!	119
166.465	167.102	0.637	R	119
167.102	167.984	0.882	Ce	120
167.984	168.735	0.751	bruit	121
168.735	171.788	3.053	mystérieux	122
171.788	174.269	2.482	sonne	123
174.269	174.629	0.359	comme	124
174.629	175.184	0.555	un	125
175.184	181.290	6.106	départ,	126
181.290	190.955	9.665	R	126
190.955	193.535	2.580	J'aime	127
193.535	193.992	0.457	de	128
193.992	194.318	0.327	vos	129
194.318	194.776	0.457	longs	130
194.776	196.637	1.861	yeux	131
196.637	197.029	0.392	la	132
197.029	198.335	1.306	lumière	133
198.335	204.702	6.367	verdâtre	134
204.702	205.502	0.800	R	134
205.502	206.433	0.931	Douce	135
206.433	210.841	4.408	beauté	136
210.841	211.951	1.110	R	136
211.951	213.878	1.927	mais	137
213.878	216.784	2.906	aujourd'hui	138
216.784	217.224	0.441	tout	139
217.224	218.139	0.914	m'est	140
218.139	222.547	4.408	amer	141
222.547	227.576	5.029	R	141
227.576	228.767	1.192	Et	142
228.767	230.204	1.437	rien	143
230.204	230.612	0.408	ni	144
230.612	230.955	0.343	votre	145
230.955	233.110	2.155	amour	146
233.110	233.584	0.473	ni	147
233.584	233.861	0.278	le	148
233.861	235.135	1.273	boudoir	149
235.135	235.461	0.327	ni	150
235.461	238.759	3.298	l'âtre	151
238.759	239.461	0.702	R	151
239.461	240.327	0.865	Ne	152
240.327	240.604	0.278	me	153
240.604	241.861	1.257	vaut	154
241.861	242.678	0.816	le	155
242.678	245.649	2.971	soleil	156
245.649	249.584	3.935	rayonnant	157
249.584	250.563	0.980	sur	158
250.563	251.265	0.702	la	159
251.265	259.184	7.918	mer.	160
259.184			R	160
