Beginning	End	Duration	Words	Word
31.567528345	31.71845805	0.150929704999999	Mon	1
31.71845805	32.484716553	0.766258503	enfant,	2
32.484716553	32.682086168	0.197369615	ma	3
32.682086168	33.332244898	0.650158730000001	sœur,	4
33.332244898	33.808253968	0.476009070000004	Songe	5
33.808253968	33.970793651	0.162539682999999	à	6
33.970793651	34.121723356	0.150929704999996	la	7
34.121723356	34.493968254	0.372244898000005	douceur	8
34.493968254	34.899591837	0.405623583000001	R	8
34.899591837	35.445260771	0.545668933999998	D'aller	9
35.445260771	35.770340136	0.325079365000001	là	10
35.770340136	36.408888889	0.638548753000002	bas	11
36.408888889	36.722358277	0.313469387999994	vivre	12
36.722358277	37.627936508	0.905578231	ensemble!	13
37.627936508	38.696054422	1.06811791400001	R	13
38.696054422	39.195283447	0.499229024999998	Aimer	14
39.195283447	39.381043084	0.185759636999997	à	15
39.381043084	40.02031746	0.639274376000003	loisir,	16
40.02031746	40.518820862	0.498503401999997	R	16
40.518820862	41.099319728	0.580498865999999	Aimer	17
41.099319728	41.30829932	0.208979592000006	et	18
41.30829932	41.996190476	0.687891155999999	mourir	19
41.996190476	42.60861678	0.612426303999996	R	19
42.60861678	42.898866213	0.290249433	Au	20
42.898866213	43.850884354	0.952018141000004	pays	21
43.850884354	44.141133787	0.290249433	qui	22
44.141133787	44.384943311	0.243809524	te	23
44.384943311	45.406621315	1.021678004	ressemble!	24
45.406621315	46.416689342	1.010068027	R	24
46.416689342	46.60244898	0.185759638	Les	25
46.60244898	47.066848073	0.464399093000004	soleils	26
47.066848073	47.670566893	0.603718819999997	mouillés	27
47.670566893	47.891156463	0.220589570000001	de	28
47.891156463	48.100136054	0.208979590999995	ces	29
48.100136054	48.622585034	0.52244898	ciels	30
48.622585034	49.388843537	0.766258503000003	brouillés	31
49.388843537	50.015782313	0.626938776000003	R	31
50.015782313	50.433741497	0.417959183999997	Pour	32
50.433741497	50.735600907	0.301859409999999	mon	33
50.735600907	51.571519274	0.835918367000005	esprit	34
51.571519274	51.966258503	0.394739228999995	ont	35
51.966258503	52.37260771	0.406349206999998	des	36
52.37260771	53.115646259	0.743038549000005	charmes	37
53.115646259	53.905124717	0.789478457999998	R	37
53.905124717	54.230204082	0.325079365000001	Si	38
54.230204082	55.182222222	0.95201814	mystérieux	39
55.182222222	55.484081633	0.301859411000002	De	40
55.484081633	55.646621315	0.162539681999995	tes	41
55.646621315	56.227120181	0.580498865999999	traîtres	42
56.227120181	56.946938776	0.719818595000007	yeux,	43
56.946938776	57.643537415	0.696598638999994	R	43
57.643537415	58.421405896	0.777868481000006	Brillant	44
58.421405896	58.630385488	0.208979591999999	à	45
58.630385488	59.106394558	0.476009069999996	travers	46
59.106394558	59.280544218	0.174149660000005	leurs	47
59.280544218	59.988752834	0.708208616	larmes.	48
59.988752834	76.788390023	16.799637189	R	48
76.788390023	77.786848073	0.998458049999996	Là,	49
77.786848073	78.135147392	0.348299318999992	tout	50
78.135147392	78.378956916	0.243809524000014	n'est	51
78.378956916	79.180045351	0.801088434999997	qu'ordre	52
79.180045351	79.319365079	0.13931972799999	et	53
79.319365079	79.992743764	0.673378685000003	beauté,	54
79.992743764	80.596462585	0.603718821000001	R	54
80.596462585	81.513650794	0.917188209000003	Luxe	55
81.513650794	82.012879819	0.499229025000005	calme	56
82.012879819	82.198639456	0.18575963699999	et	57
82.198639456	83.487346939	1.28870748300001	volupté.	58
83.487346939	84.381315193	0.893968254000001	R	58
84.381315193	85.368163265	0.986848072000001	Là,	58
85.368163265	85.809342404	0.441179138999999	tout	58
85.809342404	86.018321995	0.208979590999988	n'est	58
86.018321995	86.761360544	0.743038549000005	qu'ordre	58
86.761360544	86.981950113	0.220589568999998	et	58
86.981950113	87.492789116	0.510839003000001	beauté,	58
87.492789116	88.154557823	0.661768707000007	R	58
88.154557823	89.071746032	0.917188208999988	Luxe,	58
89.071746032	89.617414966	0.545668934000005	calme	58
89.617414966	89.803174603	0.185759637000004	et	58
89.803174603	91.997460317	2.194285714	volupté.	58
91.997460317	161.66893424	69.671473923	R	58
161.66893424	161.8430839	0.174149660000012	Des	59
161.8430839	162.179773243	0.336689342999989	meubles	60
162.179773243	162.992471655	0.812698412000003	luisants,	61
