Beginning	End	Duration	Words	Word
7.813514739	8.788752834	0.975238095	Mon	1
8.788752834	10.205170068	1.416417234	enfant	2
10.205170068	10.553469388	0.348299320000001	ma	3
10.553469388	11.58675737	1.033287982	sœur,	4
11.58675737	11.958276644	0.371519273999999	Songe	5
11.958276644	12.36462585	0.406349206	à	6
12.36462585	12.817414966	0.452789116	la 	7
12.817414966	14.953650794	2.136235828	douceur	8
14.953650794	15.70829932	0.754648526	R	8
15.70829932	16.462947846	0.754648525999999	D'aller	9
16.462947846	16.869297052	0.406349206000002	là	10
16.869297052	17.322086168	0.452789115999998	bas	11
17.322086168	17.798095238	0.47600907	vivre	12
17.798095238	19.446712018	1.64861678	ensemble!	13
19.446712018	19.713741497	0.267029479000001	R	13
19.713741497	20.747029478	1.033287981	Aimer	14
20.747029478	21.536507937	0.789478458999998	à	15
21.536507937	22.767165533	1.230657596	loisir,	16
22.767165533	23.022585034	0.255419500999999	R	16
23.022585034	23.707573696	0.684988662000002	Aimer 	17
23.707573696	24.183582766	0.47600907	et	18
24.183582766	26.563628118	2.380045352	mourir	19
26.563628118	27.167346939	0.603718821000001	R	19
27.167346939	27.55047619	0.383129251	Au	20
27.55047619	28.339954649	0.789478458999998	pays	21
28.339954649	28.815963719	0.47600907	qui	22
28.815963719	29.303582766	0.487619047000003	te	23
29.303582766	33.982403628	4.678820862	ressemble!	24
33.982403628	34.795102041	0.812698413	R	24
34.795102041	35.607800454	0.812698413	Les	25
35.607800454	36.908117914	1.30031746	soleils	26
36.908117914	38.173605442	1.265487528	mouillés	27
38.173605442	38.591564626	0.417959183999997	De	28
38.591564626	39.021133787	0.429569160999996	ces	29
39.021133787	39.48553288	0.464399093000004	ciels	30
39.48553288	41.877188209	2.391655329	brouillés	31
41.877188209	42.329977324	0.452789114999995	R	31
42.329977324	42.713106576	0.383129252000003	Pour	32
42.713106576	43.154285714	0.441179137999995	mon	33
43.154285714	43.920544218	0.766258504000007	esprit	34
43.920544218	44.361723356	0.441179137999995	ont	35
44.361723356	44.791292517	0.429569161000003	les	36
44.791292517	46.114829932	1.323537415	charmes	37
46.114829932	46.915918367	0.801088435000004	Si	38
46.915918367	49.110204082	2.194285715	mystérieux	39
49.110204082	49.528163265	0.417959183000001	R	39
49.528163265	49.876462585	0.348299319999995	De	40
49.876462585	50.236371882	0.359909297000002	tes	41
50.236371882	51.083900227	0.847528345000001	traîtres	42
51.083900227	53.092426304	2.008526077	yeux,	43
53.092426304	53.661315193	0.568888889	R	43
53.661315193	54.404353741	0.743038548000001	Brillant	44
54.404353741	54.833922902	0.429569160999996	à	45
54.833922902	55.66984127	0.835918368000002	travers	46
55.66984127	56.203900227	0.534058956999999	leurs	47
56.203900227	60.499591837	4.29569161	larmes.	48
60.499591837	61.161360544	0.661768707	R	48
61.161360544	61.637369615	0.476009071	Là,	49
61.637369615	62.148208617	0.510839002000004	tout	50
62.148208617	62.600997732	0.452789115000002	n'est	51
62.600997732	63.111836735	0.510839002999994	qu'ordre	52
63.111836735	63.553015873	0.441179138000003	et	53
63.553015873	65.816961451	2.263945578	beauté,	54
65.816961451	65.979501134	0.162539683000006	R	54
65.979501134	67.024399093	1.044897959	Luxe,	55
67.024399093	68.661405896	1.63700680300001	calme	56
68.661405896	69.044535147	0.383129251	et	57
69.044535147	75.430022676	6.38548752899999	volupté.	58
75.430022676	75.639002268	0.208979592000006	R	58
75.639002268	76.509750567	0.870748298999999	Des	59
76.509750567	77.821678005	1.311927438	meubles	60
77.821678005	79.249705215	1.42802721000001	luisants,	61
79.249705215	79.9230839	0.673378684999989	Polis	62
79.9230839	80.375873016	0.452789116000005	par	63
80.375873016	80.782222222	0.406349206000002	les	64
80.782222222	82.895238095	2.11301587299999	ans,	65
82.895238095	83.371247166	0.476009071000007	R	65
83.371247166	85.066303855	1.695056689	Décoreraient	66
85.066303855	85.890612245	0.824308389999999	notre	67
85.890612245	87.307029478	1.416417233	chambre;	68
87.307029478	88.108117914	0.801088436000001	Les	69
88.108117914	88.560907029	0.452789115000002	plus	70
88.560907029	89.733514739	1.17260770999999	rares	71
89.733514739	90.499773243	0.766258504000007	fleurs	72
90.499773243	90.85968254	0.359909296999987	R	72
90.85968254	91.579501134	0.719818594000003	Mêlant	73
91.579501134	92.020680272	0.44117913800001	leurs	74
92.020680272	94.528435374	2.50775510199999	odeurs	75
94.528435374	95.027664399	0.499229025000005	R	75
95.027664399	95.341133787	0.313469388000001	Aux	76
95.341133787	96.200272109	0.859138321999993	vagues	77
96.200272109	97.163900227	0.963628118000003	senteurs	78
97.163900227	97.593469388	0.429569161000003	de	79
97.593469388	102.446439909	4.852970521	l'ambre,	80
102.446439909	102.945668934	0.499229024999991	R	80
102.945668934	103.735147392	0.789478458000005	Les	81
103.735147392	105.093514739	1.358367347	riches	82
105.093514739	106.289342404	1.195827665	plafonds,	83
106.289342404	106.660861678	0.371519274000008	R	83
106.660861678	106.858231293	0.197369615	Les	84
106.858231293	107.717369615	0.859138321999993	miroirs	85
107.717369615	110.178684807	2.461315192	profonds,	86
110.178684807	110.573424036	0.39473922900001	R	86
110.573424036	110.944943311	0.371519274999997	La	87
110.944943311	111.943401361	0.998458049999996	splendeur	88
111.943401361	114.46276644	2.519365079	orientale,	89
114.46276644	115.182585034	0.719818594000003	Tout	90
115.182585034	115.623764172	0.441179137999995	y	91
115.623764172	117.690340136	2.06657596400001	parlerait	92
117.690340136	117.980589569	0.290249433	R	92
117.980589569	118.270839002	0.290249433	A	93
118.270839002	118.677188209	0.406349206999991	l'âme	94
